Id,Time,Value
2022484408,04-01-2016 7.54,93
2022484408,04-01-2016 7.54,91
2022484408,04-01-2016 7.54,96
2022484408,04-01-2016 7.54,98
2022484408,04-01-2016 7.54,100
2022484408,04-01-2016 7.54,101
2022484408,04-01-2016 7.54,104
2022484408,04-01-2016 7.54,105
2022484408,04-01-2016 7.54,102
2022484408,04-01-2016 7.54,106
2022484408,04-01-2016 7.55,109
2022484408,04-01-2016 7.55,112
2022484408,04-01-2016 7.55,111
2022484408,04-01-2016 7.55,109
2022484408,04-01-2016 7.55,110
2022484408,04-01-2016 7.55,111
2022484408,04-01-2016 7.55,112
2022484408,04-01-2016 7.55,111
2022484408,04-01-2016 7.55,106
2022484408,04-01-2016 7.56,104
2022484408,04-01-2016 7.56,98
2022484408,04-01-2016 7.56,96
2022484408,04-01-2016 7.56,95
2022484408,04-01-2016 7.56,90
2022484408,04-01-2016 7.56,87
2022484408,04-01-2016 7.56,87
2022484408,04-01-2016 7.56,88
2022484408,04-01-2016 7.56,88
2022484408,04-01-2016 7.57,91
2022484408,04-01-2016 7.57,90
2022484408,04-01-2016 7.57,90
2022484408,04-01-2016 7.57,90
2022484408,04-01-2016 7.57,91
2022484408,04-01-2016 7.58,94
2022484408,04-01-2016 7.58,95
2022484408,04-01-2016 7.58,96
2022484408,04-01-2016 7.58,96
2022484408,04-01-2016 7.58,97
2022484408,04-01-2016 7.58,99
2022484408,04-01-2016 7.58,102
2022484408,04-01-2016 7.58,104
2022484408,04-01-2016 7.59,106
2022484408,04-01-2016 7.59,105
2022484408,04-01-2016 7.59,107
2022484408,04-01-2016 7.59,108
2022484408,04-01-2016 7.59,107
2022484408,04-01-2016 7.59,110
2022484408,04-01-2016 7.59,109
2022484408,04-01-2016 7.59,109
2022484408,04-01-2016 8.00,108
2022484408,04-01-2016 8.00,107
2022484408,04-01-2016 8.00,108
2022484408,04-01-2016 8.00,106
2022484408,04-01-2016 8.00,105
2022484408,04-01-2016 8.00,104
2022484408,04-01-2016 8.01,104
2022484408,04-01-2016 8.01,105
2022484408,04-01-2016 8.01,107
2022484408,04-01-2016 8.01,107
2022484408,04-01-2016 8.01,107
2022484408,04-01-2016 8.01,110
